Name,Location
Rodizio Brazilian Grill & Tapas - Melrose Arch," 10A Melrose Arch, High Street Melrose North Johannesburg"
LeSi Singing Waiter Restaurant," Cnr Meiring Naude and Darlington Street, Lynnwood Manor, Pretoria."
The Fat Olive," The Fat Olive at Stornoway Lodge, R512 Pelindaba Road, Lanseria"
The Bull Run Restaurant," Adjacent to the Protea Hotel, Balalaika Sandton, Maude Street, Sandton."
QLounge Wine Restaurant & Qsushi Bar, 199 Oxford Road Dunkeld Oxford Park
The Godfather Restaurant Midstream, Shop No.8 Shopping on Ridgeway Ridgeway Avenue Midstream 1692
Tempo Luxury Restaurant, Rivonia Crossing Centre Cnr. Rivonia Road and Witkoppen Road Sandton
Tradewinds Restaurant, 138 Rivonia Road Sandton 2196
@ThePlace2B, Lanseria County Estate Palamino Drive Lindley Lanseria
Yamitsuki," 55 Van Buuren Road, Bedfordview, Johannesburg"
The Troyeville, 1403 Albertina Sisulu Road Troyeville Johannesburg
Hussar Grill - New Market," Ring Rd East, Shop 56 & 56A, Newmarket, Lifestyle Centre, Newmarket, Alberton"
Hussar Grill - Harvest Place," Shop U2 Harvest Place Glen Erasmia, Cnr Monument Road and Blaauklippen Avenue Kempton Park, Johannesburg"
Hussar Grill - Morningside," Shop U51 Morningside Shopping Centre, Cnr Rivonia Road & Outspan Road, Morningside, Johannesburg"
Hussar Grill - Waterfall Corner," Shop 6, Waterfall Corner, Cnr of Woodmead Road & Maxwell Drive, Midrand, Johannesburg"
Hussar Grill - Blueberry," Shop 102, Blueberry Square, Corner Beyers Naude and Blueberry Road, Honeydew, Johannesburg"
Verdicchio Restaurant & Wine Cellar," Shop 9, Montecasino Fourways Gauteng 2047"
Amuse-Bouche Food & Wine, 01 Alma Road (Off Bowling Avenue) Morningside Manor Sandton Johannesburg
Casalinga Organic Farm, Rocky Ridge Road (off Beyers Naude) Muldersdrift
Hussar Grill - Silverstar Casino," Shop 7 Silverstar Casino, R28 Muldersdrift, Mogale City"
Hussar Grill - Montecasino," Shop E3, Montecasino, Montecasino Boulevard, Fourways, Johannesburg"
Cowfish Sandhurst, 70 Rivonia Road Sandhurst
Signature Restaurant," Shop U13, Morningside Shopping Centre, Cnr Outspan & Rivonia Rds, Morningside, Sandton"
Barraca, Magic Garden Centre Old Johannesburg Road (R82) Vereeniging
Pomodoro Restaurant," Morningside Shopping centre, Rivonia road corner Outspan road, Morningside, Sandton"
Bistro @ Fever Tree, Woodhill Residential Estate Garsfontein Road Woodhill 0076 
Central One Restaurant and Bar, Radisson Blu Gautrain Hotel Cnr Rivonia Road & West Street Sandton 
Adega - Norwood, 71 Iris Road Norwood Johannesburg
Zoo Lake Bowls, Princess of Wales Terrace Parkview Johannesburg
Geet Indian Restaurant," Estichis Building, 541 Fehrsen Street, Brooklyn, Pretoria "
The Barn," Nellmapius Drive, Irene, Gauteng"
Carnivore Restaurant," Misty Hills Country Hotel, Conference Centre & Spa 69 Drift Boulevard Muldersdrift 1747 South Africa"
Soul Souvlaki - Sandton," 25 Fredman Drive, Sandown, Johannesburg"
Rafters Pretoria Oos," Cnr Blesbok & Garsfontein Rd, Mooikloof, Pretoria East, Gauteng"
"Balata Restaurant @ The Fairway Hotel, Spa & Golf Resort"," Setperk Street, Randpark (Randpark Golf Course), Randburg, Johannesburg."
Tres Jolie," Plot 22 Peter Road Ruimsig S 26° 04' 03.4"" E 27° 53' 43.1"""
Greensleeves Medieval Kingdom," R563 Hekpoort Road, Sterkfontein Krugersdorp Cradle of Humankind"
Chiefs Boma Restaurant," c/o William Nicol Drive and Pieter Wenning Road, Fourways, Johannesburg"
Pontinha de Xai Xai, Shop No 6 Morning View Shopping Centre 100 South Road Morningside Johannesburg
A Churrasqueira," 1 Elandsfontein street Heidelberg road New market park Alberton, Johannesburg South "
Thanda Manzi Country Hotel & Restaurant," River Place, No. 18, R511 Road, Hennops River Valley, Centurion, GP"
Thava Indian Restaurant," 44 The Avenue & Grove Road The Gardens, Norwood"
Adega - Bedfordview, Shop G09 Key West Centre 43 Van Buuren Road Bedfordview
Vivace Restaurant (Radisson Blu Sandton), Radisson Blue Hotel Corner Rivonia Road and Daisy Street Sandton
