producer;location;contact_info;link;address;latitude;longitude
AA Badenhorst Family Wines;Swartland;022 487 3351;http://www.aabadenhorst.com;115, Swartland, South Africa;59,07070115;-3,267107947
Aaldering Vineyards & Wines;Stellenbosch;021 865 2495;http://www.aaldering.co.za;1, Aaldering Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Aan De Doorns Wine Cellar;Worcester;023 347 2301;http://www.aandedoorns.co.za;37, Rooibos Street, Worcester, 6850, South Africa;42,2625621;-71,8018877
Abingdon Wine Estate;KwaZulu Natal;033 234 4335;http://www.abingdonestate.co.za;15, Abingdon Road, KwaZulu Natal, South Africa;-28,503833;30,8875009
African Pride Wines;Stellenbosch;021 887 2204;http://www.africanpridewines.co.za;40, Ceres Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Afrikaans;Worcester;021 881 3881;http://www.drinkafrikaans.com;12, Vredenburg Street, Worcester, 6850, South Africa;42,2625621;-71,8018877
Ahrens Family Wines;Paarl;081 842 5554;http://www.theahrensfamily.co.za;45, Vryguns Road, Paarl, 7646, South Africa;-33,7310282;18,9642117
Akkerdal Wine Estate & Guest House;Franschhoek;021 876 3481;http://www.akkerdal.co.za;15, Akkerdal Road, Franschhoek, 7690, South Africa;-33,909167;19,119444
Alheit Vineyards;Overberg;060 853 5408;http://www.alheitvineyards.co.za;34, Old Cape Road, Overberg, South Africa;52,0390484;5,4964645
Alinea Wines;Worcester;;http://;15, Akkerdal Road, Franschhoek, 7690, South Africa;42,2625621;-71,8018877
Allee Bleue Estate;Franschhoek;021 874 1021;http://www.alleebleue.co.za;35, Main Road, Franschhoek, 7690, South Africa;-33,909167;19,119444
Allesverloren Wine Estate;Swartland;022 461 2320;http://www.allesverloren.co.za;8, Langebaan Road, Swartland, South Africa;59,07070115;-3,267107947
Alluvia Boutique Winery and Hotel;Stellenbosch;021 885 1661;http://www.alluvia.co.za;33, Helshoogte Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Almenkerk Wine Estate;Elgin;021 848 9844;http://www.almenkerk.co.za;21, Almenkerk Road, Elgin, 7180, South Africa;42,03726;-88,2810994
Alto Estate;Stellenbosch;021 881 3884;http://www.alto.co.za;22, Cork Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Altydgedacht;Durbanville;021 976 1295;http://www.altydgedacht.co.za;40, Barlow Street, Durbanville, 7550, South Africa;-33,8402778;18,6494444
Alvis Drift Private Cellar;Worcester;021 905 0653;http://www.alvisdrift.co.za;23, Drift Road, Worcester, 6850, South Africa;42,2625621;-71,8018877
Amani Vineyards - CLOSED;Stellenbosch;;http://www.amani.co.za;33, Helshoogte Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Amari Wines;Stellenbosch;;http://www.amarimcc.com;40, Barlow Street, Durbanville, 7550, South Africa;-33,934444;18,869167
Ambeloui Wine Cellar;Cape Town;071 850 0376;http://www.ambeloui.co.za;15, Amandel Road, Cape Town, South Africa;-33,9288301;18,4172197
Amile Wines;Worcester;068 590 9472;http://www.amilewines.co.za;40, Barlow Street, Durbanville, 7550, South Africa;42,2625621;-71,8018877
Andreas Wines;Wellington;021 873 2286;http://www.andreas.co.za;14, Kromme Rhee Road, Wellington, 7654, South Africa;-41,2887953;174,7772114
Andy Mitchell Wines;Worcester;028 254 9045;http://www.andymitchellwines.com;27, Main Road, Worcester, 6849, South Africa;42,2625621;-71,8018877
